E_ID,E_NAME,E_DESIGNATION,E_ADDR,E_BRANCH,E_CONT_NO,SH_ID
582,Harriette,"Market analyst","600 Block of PINE ST",TX,2754220306,690
396,Matthew,"Chief finance officer","EDDY ST / MASON ST",MA,4171197971,933
545,Geraldine,"Transport manager","800 Block of BRYANT ST",CT,8354987185,261
770,Brenda,"Warehouse manager","3300 Block of JUDAH ST",UT,6348759218,445
991,Malie,"Branch manager","3200 Block of GEARY BL",OH,5096424869,722
437,Fred,"Project director","VANNESS AV / MARKET ST",MO,2378946703,129
805,Clay,"HR manager","1000 Block of BOSWORTH ST",SD,8374022176,489
803,Alaysha,"Material handling executive","800 Block of GEARY ST",UT,5698225463,165
295,Kelli,"Non-executive director","BAY SHORE BL / JERROLD AV",OH,1948808609,164
804,Ryker,"Market analyst","400 Block of LEAVENWORTH ST",HI,5155277679,364
54,Johnnie,"In House logistics executive","100 Block of BRITTON ST",RI,8682770474,469
853,Zykeria,"Warehouse in charge","2700 Block of PACIFIC AV",VA,9334728554,158
902,Selma,"Head of marketing","900 Block of SANSOME ST",KY,8568849220,337
163,Kathryn,"Technical support executive","1300 Block of PACIFIC AV",AL,6993831591,634
993,Karl,"Branch manager","LA PLAYA ST / BALBOA ST",TX,3028920870,577
891,Freda,"IT support executive","1900 Block of MISSION ST",NH,8786356477,907
950,David,"Inventory manager","22ND ST / IOWA ST",OH,5614057152,870
292,Winnifred,"In House logistics executive","0 Block of 6TH ST",OH,7483616892,982
90,Bryce,Manager,"20TH ST / MISSION ST",CA,2812376384,351
49,Maeve,"Chief finance officer","GENEVA AV / MISSION ST",MA,5956508519,328
100,Seth,"Material handling executive","1600 Block of FILLMORE ST",NJ,5847136625,242
405,Maria,"IT support executive","3400 Block of CESAR CHAVEZ ST",OK,4048218701,421
584,Taron,"Sales manager","1000 Block of POTRERO AV",NC,1646327916,6
326,Bryce,"Block development manager","900 Block of MARKET ST",NY,2898450180,384
95,Ramona,"In House logistics executive","POLK ST / PINE ST",OH,1977102732,286
600,Adrienne,"Assistant manager","6TH ST / MARKET ST",NM,1551452510,892
26,Dawn,"Non-executive director","200 Block of DIVISION ST",PA,5544881818,558
515,Yessenia,"Delivery Boy","1600 Block of FOLSOM ST",MO,6808482203,481
876,Ryan,"Branch manager","600 Block of INDIANA ST",NY,6818183906,155
691,Harriette,"Non-executive director","1100 Block of GUERRERO ST",RI,1052447026,771
605,Jana,"Office manager","500 Block of CARTER ST",OR,1926409080,945
864,Frances,"Engineering department manager","0 Block of WHITFIELD CT",HI,7332778584,719
886,Tiffani,"Chief finance officer","8TH ST / MARKET ST",MO,1374706667,493
365,Cecile,"Assistant manager","400 Block of ELLIS ST",CO,2176301525,998
946,Bryce,"Chief executive officer","TAYLOR ST / EDDY ST",NH,1590827102,968
152,Earle,"Delivery Boy","1200 Block of WAWONA ST",NY,1705805447,738
789,Danita,"Project director","500 Block of BROADWAY ST",UT,7412005788,912
148,Raeleigh,"Warehouse manager","400 Block of CASTRO ST",OK,4924177596,782
7,Guy,"Transport manager","NATOMA ST / 6TH ST",TN,9744154055,140
982,Anastasia,"Sales manager","JONES ST / PINE ST",MA,5862720266,702
249,Benita,Manager,"1700 Block of GREENWICH ST",TX,6264685114,284
273,Dianne,"Branch manager","SCOTT ST / SACRAMENTO ST",NY,6650624462,199
172,Andrea,"Material handling executive","1700 Block of BEACH ST",TX,7889923764,228
234,Raul,"Project director","1400 Block of 47TH AV",CA,4666975381,908
844,Raven,"Engineering department manager","CASTRO ST / MARKET ST",AL,1860620006,594
368,Rebecca,"Material handling executive","400 Block of SCOTT ST",TX,1015130737,542
372,Rosalind,"Transport manager","MINNA ST / JULIA ST",MA,3355369287,586
82,Anne,"Block development manager","1000 Block of POTRERO AV",IA,7381630742,636
528,Michael,"Market analyst","7TH ST / MARKET ST",TN,3343867513,581
143,Danielle,"IT support executive","100 Block of EUREKA ST",CT,1484052991,336
429,Heather,"Warehouse manager","2000 Block of UNION ST",RI,5158272401,504
47,Kaitlyn,"Chief finance officer","800 Block of MARKET ST",MS,6223189308,346
790,Eileen,"Chief executive officer","SAN JOSE AV / GUERRERO ST",MA,1246424250,135
427,Cheyenne,"Branch manager","100 Block of GIRARD ST",CA,4239981168,822
906,Ely,"Office manager","0 Block of 6TH ST",KS,3882423236,95
750,Irby,"Assistant manager","0 Block of CRANE ST",AR,9166200177,597
913,Genevieve,"Fleet manager","LEAVENWORTH ST / GOLDEN GATE AV",OH,5137511014,340
31,Elliana,"Office manager","COLUMBUS AV / LOMBARD ST",LA,9741124956,905
733,Katrice,"Sales manager","1600 Block of MARKET ST",WV,1055293942,250
624,Laverne,"Engineering department manager","1800 Block of WALLER ST",CA,2774587967,400
199,Chasity,"Delivery Boy","600 Block of MANGELS AV",WA,6383939014,877
112,Kyle,"Non-executive director","0 Block of POWELL ST",CT,8157564947,97
